user,uuid,ts,category,action,label,value
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243221172,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243221173,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243223574,log_11, Session ID Button,Show,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243225622,bkm_9, bookmarks file export,False,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243225623,bkm_9,/web/dataview.html,bookmark_tool,Bookmarks File Exported
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243225624,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243225624,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243225624,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243227486,com_3,/web/dataview.html,bookmark_tool,consult_team
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243227700,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243229903,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243229904,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243230543,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243231556,log_17,page,focus,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243231557,log_9,start logging,webpage,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243233649,log_18,page,blur,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243236128,log_17,page,focus,map
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243236128,log_9,start logging,webpage,map
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243238278,log_12,page,close,/web/map.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243286202,log_17,page,focus,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243286203,log_9,start logging,webpage,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243287778,log_18,page,blur,logbook
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243293038,log_17,page,focus,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243293039,log_9,start logging,webpage,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243295652,vis_1,data view,Vis Creation Link Clicked,Matrix & Node Link
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243295663,log_18,page,blur,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243297164,log_1,Vistorian Trace,Session,Start
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243297164,_trace,document.location,href,e4fd31af-a55d-46dc-b65d-391342a95950
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243297164,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243297164,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243297164,_trace,window,innerSize,w:833;h:917
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243297164,log_2,node link,webpage,load
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243297166,log_1,Vistorian Trace,Session,Start
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243297166,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243297166,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243297166,_trace,window,innerSize,w:1920;h:969
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243297166,log_2,load,webpage,/web/mat-nl.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243297167,log_9,start logging,webpage,mat-nl
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243299234,log_18,page,blur,mat-nl
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243303394,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243303417,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243303517,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243303766,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243303780,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243303794,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243303806,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243303821,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243303834,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243303965,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243303977,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243303993,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304004,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304018,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304030,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304140,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243304150,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over
