usrID,logID,view,event,category,index,start,end,userSession,userID+session,session
2699,vis_32,Node-Link,Link,visualization,1,434,436,1,2699_1,2
2699,vis_30,Node-Link,Node,visualization,1,435,437,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,436,437,1,2699_1,2
2699,vis_30,Node-Link,Node,visualization,1,436,437,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,436,437,1,2699_1,2
2699,vis_31,Node-Link,Link_click,visualization,1,436,437,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,436,439,1,2699_1,2
2699,vis_30,Node-Link,Node,visualization,1,439,440,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,439,440,1,2699_1,2
2699,vis_30,Node-Link,Node,visualization,1,439,440,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,440,443,1,2699_1,2
2699,vis_41,Node-Link,Zoom,visualization,1,447,449,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,448,450,1,2699_1,2
2699,vis_9,Node-Link,Nodelink Labeling-Automatic/importance,visualization,1,464,465,1,2699_1,2
2699,vis_9,Node-Link,Nodelink Labeling-Hide All,visualization,1,465,466,1,2699_1,2
2699,vis_9,Node-Link,Nodelink Labeling-Show All,visualization,1,466,467,1,2699_1,2
2699,vis_41,Node-Link,Zoom,visualization,1,467,471,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,470,471,1,2699_1,2
2699,vis_41,Node-Link,Zoom,visualization,1,470,472,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,471,473,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,478,480,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,482,484,1,2699_1,2
2699,vis_41,Node-Link,Zoom,visualization,1,483,484,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,483,484,1,2699_1,2
2699,vis_41,Node-Link,Zoom,visualization,1,483,484,1,2699_1,2
2699,vis_32,Node-Link,Link,visualization,1,483,486,1,2699_1,2
2094,log_2,,Visit Page ,logging,2,0,1,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,22,23,1,2094_1,3
2094,dat_1,,New Network,data,0,46,47,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,72,73,1,2094_1,3
2094,hlp_4,,Vis Example(s),help,3,83,84,1,2094_1,3
2094,log_2,Map,Visit Page Map,logging,2,83,84,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,117,118,1,2094_1,3
2094,dat_1,,New Network,data,0,137,138,1,2094_1,3
2094,dat_1,,New Network,data,0,174,175,1,2094_1,3
2094,log_2,,Visit Page ,logging,2,178,179,1,2094_1,3
